Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C4, C5, C6, C8",0603,9,100nF,
"C12, C13",0603,2,1uF,
"C7, C9",0603,2,22pF,
"D1, D2, D3",0603,3,LED,
"H1, H2, H3, H4",MountingHole_2mm,4,MountingHole,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J3,Samtec_HPM-03-01-x-S_Straight_1x03_Pitch5.08mm,1,Conn_01x03,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_02x01,
"R1, R2",0603,2,5K1,
"R10, R11, R9",0603,3,2K,
R12,0603,1,120R,
"R3, R4, R7, R8",0603,4,22R,
R5,0603,1,10K,
R6,0603,1,510K,
U1,LQFP-48_7x7mm_P0.5mm,1,MM32F5333D6PV,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
U3,SOT-23-3,1,XC6206P332MR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
