Designator,Mid X,Mid Y,Rotation,Layer
C1,40.64,-49.53,180.0,top
C10,59.69,-63.5,180.0,top
C11,69.85,-59.69,0.0,top
C12,40.64,-63.5,0.0,top
C13,40.64,-58.42,180.0,top
C2,59.69,-62.23,0.0,top
C3,59.69,-60.96,0.0,top
C4,40.64,-50.8,0.0,top
C5,40.64,-57.15,180.0,top
C6,59.69,-49.53,0.0,top
C7,59.69,-59.69,180.0,top
C8,59.69,-52.07,0.0,top
C9,59.69,-53.34,180.0,top
D1,59.69,-48.26,0.0,top
D2,53.34,-48.26,0.0,top
D3,46.99,-48.26,0.0,top
J1,45.72,-63.5,90.0,top
J2,31.75,-55.88,270.0,top
J3,76.2,-62.23,180.0,top
J4,74.93,-48.26,90.0,top
R1,40.64,-52.07,0.0,top
R10,46.99,-49.53,0.0,top
R11,40.64,-48.26,0.0,top
R12,69.85,-52.07,0.0,top
R2,40.64,-55.88,0.0,top
R3,40.64,-53.34,0.0,top
R4,40.64,-54.61,0.0,top
R5,59.69,-50.8,180.0,top
R6,59.69,-54.61,180.0,top
R7,64.77,-52.07,180.0,top
R8,64.77,-59.69,180.0,top
R9,53.34,-49.53,0.0,top
U1,50.8,-55.88,180.0,top
U2,67.31,-55.88,0.0,top
U3,40.64,-60.96,180.0,top
Y1,59.69,-57.15,270.0,top
